,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range,labels
11797,F,34000,2,2,3,57,8,1,2,20-29,5-9,0-4,0-4,60-69,60-69,50-59,30-39,2
11798,M,48000,1,4,4,43,3,3,1,40-49,10-14,5-9,0-4,90-100,20-29,50-59,40-49,0
11799,M,69000,0,3,6,23,2,2,2,20-29,5-9,0-4,0-4,50-59,0-9,60-69,50-59,2
11800,F,78000,5,5,6,280,23,1,2,80+,10-14,0-4,10-14,80-89,80-89,10-19,30-39,0
11801,M,43000,1,2,2,37,9,1,0,20-29,0-4,0-4,0-4,90-100,50-59,0-9,30-39,-1
11802,M,54000,2,3,5,109,12,2,0,60-69,5-9,5-9,0-4,60-69,40-49,0-9,40-49,2
11803,F,57000,3,4,5,101,12,0,3,40-49,5-9,0-4,5-9,80-89,60-69,30-39,40-49,2
11804,F,74000,3,4,4,237,19,1,2,50-59,10-14,0-4,5-9,90-100,70-79,30-39,30-39,0
11805,F,118000,4,4,6,166,23,1,2,50-59,5-9,5-9,5-9,60-69,60-69,40-49,10-19,2
11806,M,35000,0,3,6,26,2,1,1,70-79,10-14,0-4,0-4,50-59,0-9,90-100,50-59,0
11807,M,86000,1,1,4,119,29,1,0,60-69,0-4,0-4,0-4,20-29,20-29,0-9,50-59,-1
11808,M,36000,4,2,4,119,9,0,3,40-49,10-14,0-4,10-14,50-59,90-100,30-39,50-59,0
11809,M,95000,2,3,6,56,18,2,1,50-59,0-4,5-9,0-4,50-59,30-39,90-100,30-39,-1
11810,F,73000,3,3,4,287,19,1,2,30-39,15-19,0-4,5-9,70-79,70-79,30-39,30-39,0
11811,M,60000,1,3,4,31,2,1,2,20-29,10-14,0-4,0-4,70-79,20-29,50-59,50-59,0
11812,F,86000,2,2,5,119,23,3,0,60-69,5-9,5-9,0-4,40-49,40-49,0-9,30-39,2
11813,M,35000,3,4,5,103,9,2,2,30-39,10-14,5-9,5-9,80-89,60-69,20-29,40-49,0
11814,M,37000,4,5,5,117,10,2,2,20-29,10-14,5-9,5-9,90-100,80-89,30-39,30-39,0
11815,M,53000,1,2,4,48,3,2,1,40-49,10-14,5-9,0-4,50-59,20-29,50-59,40-49,-1
11816,F,80000,2,4,4,97,19,1,2,40-49,5-9,0-4,5-9,90-100,50-59,40-49,30-39,2
11817,M,59000,0,3,3,40,13,1,1,50-59,0-4,0-4,0-4,90-100,0-9,50-59,50-59,0
11818,M,88000,1,2,2,51,17,1,1,60-69,0-4,0-4,0-4,90-100,50-59,50-59,30-39,0
11819,M,39000,2,3,3,127,11,1,0,70-79,10-14,5-9,0-4,90-100,60-69,0-9,10-19,0
11820,M,98000,3,3,3,1084,120,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
11821,F,61000,5,5,5,191,14,3,2,30-39,10-14,5-9,5-9,90-100,90-100,30-39,30-39,0
11822,F,52000,2,2,2,116,14,1,1,40-49,5-9,0-4,0-4,90-100,90-100,30-39,30-39,2
11823,F,68000,1,4,4,172,15,1,0,60-69,10-14,0-4,0-4,90-100,20-29,0-9,30-39,0
11824,F,64000,3,3,4,282,18,2,1,40-49,15-19,5-9,0-4,70-79,70-79,30-39,30-39,0
11825,M,73000,5,5,6,145,20,1,3,50-59,5-9,5-9,5-9,80-89,80-89,30-39,10-19,2
11826,M,60000,4,3,5,210,14,2,1,20-29,15-19,5-9,0-4,60-69,80-89,50-59,20-29,0
11827,F,62000,3,3,3,193,17,1,1,50-59,10-14,5-9,0-4,90-100,90-100,30-39,10-19,0
11828,M,55000,3,3,3,136,17,2,1,50-59,5-9,5-9,0-4,90-100,90-100,30-39,30-39,2
11829,F,99000,4,4,4,278,23,2,2,50-59,10-14,5-9,5-9,90-100,90-100,30-39,30-39,0
11830,F,59000,2,4,5,45,3,0,2,20-29,10-14,0-4,10-14,80-89,40-49,20-29,30-39,0
11831,M,53000,4,3,5,666,51,2,0,50-59,10-14,10-14,0-4,60-69,80-89,0-9,20-29,0
11832,M,86000,3,6,6,176,17,2,2,50-59,10-14,5-9,5-9,90-100,50-59,30-39,40-49,0
11833,F,38000,5,3,6,40,8,2,3,20-29,5-9,5-9,5-9,50-59,80-89,30-39,40-49,-1
11834,M,83000,4,5,5,144,24,2,1,70-79,5-9,5-9,0-4,90-100,80-89,30-39,20-29,2
11835,M,84000,0,2,2,111,22,0,0,50-59,5-9,0-4,0-4,90-100,0-9,0-9,20-29,1
11836,M,75000,0,2,4,13,3,0,1,20-29,0-4,0-4,0-4,50-59,0-9,90-100,20-29,0
11837,M,45000,0,4,6,8,1,3,1,20-29,5-9,5-9,0-4,60-69,0-9,30-39,40-49,2
11838,F,57000,2,4,5,59,14,2,2,70-79,0-4,5-9,0-4,80-89,40-49,50-59,20-29,0
11839,M,33000,0,3,3,22,2,2,0,30-39,5-9,0-4,0-4,90-100,0-9,0-9,50-59,1
11840,M,61000,3,4,4,239,17,2,1,70-79,10-14,5-9,0-4,90-100,70-79,30-39,30-39,0
11841,F,36000,3,5,6,46,2,3,2,20-29,15-19,5-9,5-9,80-89,50-59,20-29,50-59,0
11842,M,55000,0,3,4,1,0,0,3,30-39,0-4,0-4,5-9,70-79,0-9,40-49,50-59,0
11843,M,61000,5,6,6,51,3,2,2,20-29,15-19,10-14,5-9,90-100,80-89,30-39,10-19,0
11844,M,58000,1,5,5,44,14,1,3,50-59,0-4,0-4,5-9,90-100,20-29,30-39,50-59,0
11845,F,34000,2,4,4,88,3,1,2,20-29,25-29,0-4,5-9,90-100,50-59,30-39,50-59,-1
11846,M,90000,3,3,5,152,25,1,3,50-59,5-9,0-4,5-9,60-69,60-69,40-49,50-59,2
11847,F,65000,0,2,2,84,16,1,0,60-69,5-9,0-4,0-4,90-100,0-9,0-9,50-59,1
11848,M,63000,0,3,5,12,2,2,1,40-49,5-9,0-4,0-4,60-69,0-9,50-59,60-69,2
11849,M,84000,3,3,4,162,23,1,1,70-79,5-9,0-4,5-9,70-79,70-79,20-29,30-39,2
11850,M,101000,3,2,4,95,23,1,3,60-69,0-4,0-4,5-9,50-59,70-79,40-49,50-59,0
11851,M,46000,3,6,6,64,16,3,2,60-69,0-4,10-14,5-9,90-100,50-59,40-49,30-39,0
11852,M,66000,2,4,5,54,4,2,2,20-29,10-14,5-9,0-4,80-89,40-49,50-59,40-49,-1
11853,F,88000,3,4,4,171,21,1,1,80+,5-9,0-4,5-9,90-100,70-79,10-19,30-39,2
11854,F,86000,1,4,4,78,19,0,2,50-59,0-4,0-4,5-9,90-100,20-29,40-49,30-39,0
11855,M,88000,5,5,6,280,21,1,2,70-79,10-14,0-4,10-14,80-89,80-89,10-19,30-39,0
11856,M,66000,5,6,6,260,17,2,3,80+,15-19,5-9,5-9,90-100,80-89,30-39,30-39,0
11857,M,92000,1,4,4,181,22,1,2,60-69,5-9,0-4,5-9,90-100,20-29,40-49,50-59,2
11858,M,32000,1,3,4,16,1,2,0,50-59,10-14,5-9,0-4,70-79,20-29,0-9,30-39,0
11859,M,101000,4,3,4,996,110,1,2,80+,5-9,5-9,5-9,70-79,90-100,40-49,10-19,2
11860,F,77000,3,5,5,234,19,1,1,60-69,10-14,0-4,5-9,90-100,60-69,10-19,30-39,0
11861,M,50000,3,4,4,66,11,3,0,50-59,5-9,5-9,0-4,90-100,70-79,0-9,30-39,2
11862,F,32000,2,3,5,62,6,1,2,50-59,10-14,0-4,0-4,60-69,40-49,60-69,30-39,0
11863,F,76000,2,1,2,960,192,1,1,60-69,5-9,0-4,0-4,50-59,90-100,30-39,50-59,-1
11864,F,69000,0,2,6,13,3,1,2,40-49,0-4,0-4,0-4,30-39,0-9,50-59,50-59,0
11865,F,54000,3,4,4,239,14,1,1,80+,15-19,0-4,5-9,90-100,70-79,10-19,30-39,0
11866,M,34000,0,1,2,5,2,1,0,30-39,0-4,0-4,0-4,50-59,0-9,0-9,50-59,0
11867,F,53000,0,3,5,27,4,2,3,50-59,5-9,0-4,0-4,60-69,0-9,70-79,50-59,2
11868,F,40000,3,3,5,365,22,0,3,20-29,15-19,0-4,5-9,60-69,60-69,40-49,50-59,-1
11869,F,66000,4,5,6,263,17,1,2,70-79,15-19,5-9,5-9,80-89,60-69,20-29,10-19,0
11870,O,67000,4,5,5,196,21,0,3,60-69,5-9,0-4,10-14,90-100,80-89,20-29,10-19,2
11871,M,57000,4,4,6,67,3,2,1,20-29,20-24,0-4,5-9,60-69,60-69,10-19,50-59,0
11872,M,50000,0,4,5,8,1,2,2,50-59,5-9,0-4,0-4,80-89,0-9,50-59,60-69,2
11873,F,108000,2,4,6,98,24,0,1,70-79,0-4,0-4,0-4,60-69,30-39,20-29,60-69,0
11874,F,86000,4,4,4,187,23,1,2,70-79,5-9,0-4,5-9,90-100,90-100,20-29,30-39,2
11875,M,108000,3,4,5,161,26,2,1,50-59,5-9,5-9,0-4,80-89,60-69,30-39,20-29,2
11876,F,50000,3,2,4,190,12,1,1,30-39,15-19,5-9,0-4,50-59,70-79,50-59,10-19,-1
11877,M,95000,3,3,5,176,22,2,2,60-69,5-9,0-4,5-9,60-69,60-69,30-39,50-59,2
11878,M,35000,0,2,5,3,1,3,1,60-69,0-4,0-4,0-4,40-49,0-9,90-100,70-79,0
11879,F,94000,4,4,6,258,25,2,1,80+,10-14,5-9,0-4,60-69,60-69,50-59,20-29,0
11880,M,85000,3,4,4,86,21,2,2,30-39,0-4,5-9,5-9,90-100,70-79,30-39,40-49,0
11881,M,79000,5,4,6,132,22,1,2,50-59,5-9,0-4,10-14,60-69,80-89,10-19,30-39,2
11882,M,44000,3,3,3,169,12,2,1,70-79,10-14,5-9,0-4,90-100,90-100,30-39,30-39,0
11883,M,98000,4,6,6,1106,79,2,2,30-39,10-14,5-9,5-9,90-100,60-69,30-39,20-29,0
11884,M,52000,3,4,6,48,2,2,2,60-69,20-24,5-9,5-9,60-69,50-59,20-29,40-49,-1
11885,M,61000,0,5,5,4,4,1,3,50-59,0-4,0-4,5-9,90-100,0-9,30-39,50-59,0
11886,M,39000,3,3,3,94,8,0,2,60-69,10-14,0-4,5-9,90-100,90-100,20-29,50-59,0
11887,M,97000,3,1,5,111,27,2,1,60-69,0-4,5-9,0-4,20-29,60-69,30-39,30-39,-1
11888,F,37000,1,3,5,25,1,1,2,30-39,10-14,0-4,5-9,60-69,20-29,40-49,50-59,0
11889,M,34000,0,3,5,23,4,2,3,60-69,5-9,0-4,0-4,60-69,0-9,70-79,50-59,2
11890,M,62000,1,3,3,18,3,1,1,50-59,5-9,0-4,0-4,90-100,30-39,30-39,50-59,2
11891,M,92000,3,3,4,195,24,2,1,50-59,5-9,5-9,0-4,70-79,70-79,50-59,30-39,2
11892,M,62000,1,5,5,22,4,2,2,30-39,5-9,5-9,0-4,90-100,20-29,50-59,40-49,2
11893,F,55000,2,2,4,165,15,1,1,20-29,10-14,0-4,0-4,50-59,50-59,30-39,30-39,0
11894,F,78000,3,2,4,62,20,1,2,40-49,0-4,5-9,0-4,50-59,70-79,50-59,20-29,0
11895,M,97000,4,5,5,222,24,2,1,70-79,5-9,5-9,5-9,90-100,80-89,10-19,30-39,2
11896,M,31000,0,4,5,25,6,1,1,20-29,0-4,0-4,0-4,80-89,0-9,90-100,20-29,-1
11897,M,66000,0,3,5,12,3,2,2,20-29,0-4,0-4,5-9,60-69,0-9,40-49,60-69,0
11898,F,81000,6,5,6,165,16,3,2,30-39,10-14,5-9,5-9,80-89,90-100,20-29,30-39,0
11899,M,68000,3,5,5,65,16,3,0,40-49,0-4,10-14,0-4,90-100,60-69,0-9,20-29,0
11900,F,59000,5,6,6,149,13,2,2,40-49,10-14,5-9,5-9,90-100,80-89,30-39,20-29,0
11901,M,81000,4,5,5,179,17,1,2,60-69,10-14,0-4,5-9,90-100,80-89,20-29,30-39,0
11902,M,70000,0,1,4,10,2,0,1,30-39,0-4,0-4,0-4,20-29,0-9,50-59,30-39,0
11903,M,52000,2,3,3,210,13,1,1,30-39,15-19,0-4,0-4,90-100,60-69,30-39,30-39,0
11904,F,63000,1,2,2,110,15,0,1,60-69,5-9,0-4,0-4,90-100,50-59,30-39,30-39,2
11905,M,46000,0,2,4,5,1,1,2,60-69,0-4,0-4,0-4,50-59,0-9,60-69,50-59,0
11906,M,66000,2,5,5,59,11,2,2,50-59,5-9,5-9,5-9,90-100,40-49,40-49,40-49,2
11907,M,40000,1,5,6,61,3,2,3,30-39,15-19,0-4,5-9,80-89,10-19,50-59,50-59,-1
11908,M,58000,1,1,2,124,17,0,1,50-59,5-9,0-4,0-4,50-59,50-59,30-39,50-59,2
11909,M,89000,3,5,5,145,20,1,1,60-69,5-9,5-9,0-4,90-100,60-69,30-39,10-19,2
11910,M,68000,2,3,4,37,18,0,3,60-69,0-4,0-4,5-9,70-79,50-59,30-39,10-19,0
11911,M,58000,0,1,5,10,2,0,2,50-59,0-4,0-4,0-4,20-29,0-9,90-100,10-19,0
11912,F,71000,1,5,5,49,24,2,1,40-49,0-4,5-9,0-4,90-100,20-29,50-59,40-49,0
11913,F,44000,5,3,5,149,12,2,3,30-39,10-14,5-9,5-9,60-69,90-100,40-49,30-39,0
11914,M,33000,2,4,4,98,8,1,1,30-39,10-14,5-9,0-4,90-100,50-59,30-39,20-29,0
11915,F,60000,5,4,6,330,15,2,2,40-49,20-24,5-9,5-9,60-69,80-89,40-49,20-29,0
11916,M,84000,2,3,4,15,15,1,3,60-69,0-4,0-4,5-9,70-79,50-59,50-59,30-39,0
11917,M,41000,0,4,4,13,2,1,1,60-69,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
11918,F,77000,1,4,5,94,23,1,1,50-59,0-4,0-4,0-4,80-89,20-29,20-29,50-59,0
11919,M,90000,3,5,6,355,22,2,1,70-79,15-19,5-9,0-4,80-89,50-59,30-39,30-39,0
11920,M,57000,1,3,5,14,3,2,2,30-39,0-4,5-9,0-4,60-69,20-29,60-69,30-39,0
11921,F,77000,0,2,5,19,19,3,1,50-59,0-4,5-9,0-4,40-49,0-9,90-100,60-69,0
11922,F,106000,3,4,5,184,26,1,1,50-59,5-9,0-4,5-9,80-89,60-69,10-19,30-39,2
11923,F,119000,4,5,5,224,28,2,2,50-59,5-9,5-9,5-9,90-100,80-89,30-39,30-39,2
11924,M,47000,1,4,6,41,2,4,1,20-29,10-14,10-14,0-4,60-69,10-19,90-100,40-49,-1
11925,M,81000,3,5,5,128,21,2,2,70-79,5-9,5-9,5-9,90-100,60-69,30-39,40-49,2
11926,F,60000,1,2,2,27,2,1,1,60-69,10-14,0-4,0-4,90-100,50-59,30-39,50-59,0
11927,F,37000,0,3,6,2,2,1,3,60-69,0-4,0-4,5-9,50-59,0-9,60-69,50-59,0
11928,F,83000,3,3,6,110,22,1,2,60-69,5-9,0-4,5-9,50-59,50-59,40-49,20-29,2
11929,M,46000,1,4,5,13,2,1,1,20-29,5-9,5-9,0-4,80-89,20-29,50-59,10-19,2
11930,M,60000,5,5,5,136,15,1,3,40-49,5-9,0-4,10-14,90-100,90-100,20-29,30-39,2
11931,M,76000,3,3,3,158,22,2,1,40-49,5-9,5-9,0-4,90-100,90-100,30-39,30-39,2
11932,M,61000,4,4,5,31,4,2,2,80+,5-9,5-9,5-9,80-89,80-89,20-29,40-49,2
11933,M,54000,2,4,4,36,12,1,2,60-69,0-4,0-4,5-9,90-100,50-59,20-29,50-59,0
11934,F,88000,2,2,6,122,24,1,1,50-59,5-9,0-4,0-4,30-39,30-39,20-29,30-39,2
11935,F,79000,5,3,5,143,17,2,3,70-79,5-9,5-9,5-9,60-69,90-100,30-39,40-49,2
11936,F,54000,4,4,4,185,13,2,1,60-69,10-14,5-9,5-9,90-100,90-100,10-19,30-39,0
11937,F,43000,3,4,6,144,12,0,3,50-59,10-14,0-4,5-9,60-69,50-59,30-39,30-39,0
11938,M,36000,0,3,4,17,3,3,1,70-79,5-9,5-9,0-4,70-79,0-9,50-59,60-69,2
11939,M,38000,1,2,5,30,2,2,2,20-29,10-14,5-9,0-4,40-49,20-29,90-100,30-39,0
11940,F,76000,2,3,3,412,82,1,1,60-69,5-9,5-9,0-4,90-100,60-69,30-39,20-29,2
11941,M,68000,0,4,4,10,2,0,1,30-39,0-4,0-4,0-4,90-100,0-9,20-29,20-29,0
11942,O,41000,1,2,3,121,11,0,1,40-49,10-14,0-4,0-4,60-69,30-39,50-59,20-29,0
11943,M,78000,3,3,3,109,18,0,3,80+,5-9,0-4,5-9,90-100,90-100,30-39,20-29,2
11944,M,68000,4,4,4,78,15,2,2,60-69,5-9,5-9,5-9,90-100,90-100,30-39,30-39,2
11945,F,72000,1,2,3,29,14,1,1,60-69,0-4,5-9,0-4,60-69,30-39,90-100,20-29,0
11946,F,62000,2,3,4,212,14,1,1,20-29,15-19,0-4,0-4,70-79,50-59,30-39,30-39,0
11947,M,62000,0,2,5,22,4,2,1,50-59,5-9,0-4,0-4,40-49,0-9,90-100,50-59,2
11948,M,50000,0,2,4,31,6,1,2,40-49,5-9,0-4,0-4,50-59,0-9,60-69,50-59,2
11949,F,57000,2,4,4,17,4,1,1,40-49,0-4,0-4,5-9,90-100,50-59,10-19,50-59,0
11950,M,58000,2,5,5,47,3,2,1,40-49,15-19,5-9,0-4,90-100,40-49,30-39,40-49,0
11951,M,76000,4,4,5,223,22,2,3,80+,10-14,0-4,5-9,80-89,80-89,30-39,50-59,0
11952,F,35000,0,0,4,11,2,0,1,80+,0-4,0-4,0-4,0-9,0-9,50-59,50-59,-1
11953,M,72000,0,2,4,10,2,1,1,70-79,0-4,0-4,0-4,50-59,0-9,90-100,20-29,0
11954,M,79000,3,2,5,108,18,2,1,60-69,5-9,5-9,0-4,40-49,60-69,30-39,30-39,2
11955,M,60000,0,2,5,17,3,2,1,50-59,5-9,0-4,0-4,40-49,0-9,30-39,50-59,2
11956,F,30000,2,4,5,58,9,2,3,50-59,5-9,0-4,5-9,80-89,40-49,40-49,50-59,2
11957,F,59000,3,2,3,157,14,2,0,50-59,10-14,5-9,0-4,60-69,90-100,0-9,20-29,-1
11958,M,64000,0,2,4,29,2,2,0,40-49,10-14,0-4,0-4,50-59,0-9,0-9,50-59,0
11959,M,31000,2,5,6,37,2,2,4,50-59,15-19,0-4,10-14,80-89,30-39,40-49,60-69,0
11960,F,76000,4,6,6,114,19,2,2,50-59,5-9,5-9,5-9,90-100,60-69,30-39,30-39,2
11961,F,113000,4,4,5,310,28,2,1,50-59,10-14,5-9,0-4,80-89,80-89,30-39,20-29,0
11962,F,60000,1,4,5,32,2,2,1,40-49,15-19,5-9,0-4,80-89,20-29,30-39,40-49,0
11963,F,66000,4,4,4,129,12,2,1,80+,10-14,5-9,0-4,90-100,90-100,30-39,20-29,0
11964,M,39000,3,4,4,59,11,1,2,30-39,5-9,0-4,5-9,90-100,70-79,30-39,30-39,2
11965,M,39000,1,4,6,22,2,2,1,70-79,5-9,5-9,0-4,60-69,10-19,90-100,40-49,2
11966,F,70000,1,3,4,16,16,1,2,60-69,0-4,0-4,5-9,70-79,20-29,40-49,30-39,0
11967,M,44000,1,3,4,57,3,1,1,20-29,15-19,0-4,0-4,70-79,20-29,30-39,50-59,0
11968,M,59000,0,1,4,15,1,1,1,50-59,5-9,0-4,0-4,20-29,0-9,90-100,50-59,2
11969,M,80000,1,1,1,49,16,0,1,60-69,0-4,0-4,0-4,90-100,90-100,30-39,50-59,-1
11970,M,31000,0,3,5,6,2,1,2,50-59,0-4,0-4,0-4,60-69,0-9,50-59,20-29,0
11971,M,36000,3,4,6,91,9,2,1,60-69,10-14,5-9,0-4,60-69,50-59,30-39,30-39,0
11972,F,85000,3,5,5,92,23,2,1,60-69,0-4,5-9,5-9,90-100,60-69,20-29,30-39,0
11973,F,54000,2,3,3,139,13,1,0,40-49,10-14,5-9,0-4,90-100,60-69,0-9,10-19,0
11974,F,34000,1,1,4,17,4,1,0,70-79,0-4,0-4,0-4,20-29,20-29,0-9,20-29,-1
11975,F,96000,1,2,2,177,25,1,0,60-69,5-9,0-4,0-4,90-100,50-59,0-9,30-39,2
11976,F,54000,3,6,6,233,15,1,2,40-49,15-19,0-4,5-9,90-100,50-59,30-39,30-39,0
11977,M,49000,2,5,6,20,2,3,1,60-69,5-9,10-14,0-4,80-89,30-39,90-100,20-29,-1
11978,M,87000,2,3,4,60,20,1,1,50-59,0-4,0-4,0-4,70-79,50-59,50-59,30-39,0
11979,M,70000,4,4,4,156,15,3,0,70-79,10-14,10-14,0-4,90-100,90-100,0-9,20-29,0
11980,M,63000,4,4,5,132,13,1,2,40-49,10-14,0-4,5-9,80-89,80-89,20-29,30-39,0
11981,M,51000,1,4,4,21,10,1,2,40-49,0-4,0-4,5-9,90-100,20-29,20-29,50-59,0
11982,M,39000,0,4,6,8,2,1,2,80+,0-4,0-4,5-9,60-69,0-9,40-49,30-39,0
11983,M,84000,4,3,4,238,21,1,2,60-69,10-14,0-4,5-9,70-79,90-100,20-29,30-39,0
11984,M,42000,0,3,3,4,2,2,1,40-49,0-4,0-4,0-4,90-100,0-9,50-59,50-59,0
11985,M,78000,2,4,4,76,25,1,2,60-69,0-4,0-4,5-9,90-100,50-59,20-29,30-39,0
11986,M,71000,0,4,4,97,19,0,0,40-49,5-9,0-4,0-4,90-100,0-9,0-9,30-39,1
11987,F,77000,3,4,5,123,17,2,1,70-79,5-9,5-9,0-4,80-89,60-69,30-39,30-39,2
11988,M,40000,1,5,6,164,8,1,2,50-59,15-19,0-4,5-9,80-89,10-19,40-49,50-59,-1
11989,F,99000,2,4,4,80,26,1,3,50-59,0-4,0-4,5-9,90-100,50-59,40-49,30-39,0
11990,F,68000,2,5,5,69,13,0,2,50-59,5-9,0-4,5-9,90-100,40-49,20-29,30-39,2
11991,F,59000,0,5,6,7,1,1,1,40-49,5-9,5-9,0-4,80-89,0-9,90-100,10-19,-1
11992,M,30000,0,2,4,14,2,1,2,50-59,5-9,0-4,0-4,50-59,0-9,50-59,50-59,2
11993,M,55000,1,3,5,42,3,1,1,80+,10-14,0-4,5-9,60-69,20-29,20-29,90-100,-1
11994,F,83000,1,4,4,102,20,1,0,70-79,5-9,0-4,0-4,90-100,20-29,0-9,30-39,2
11995,F,60000,3,4,4,80,3,2,1,20-29,20-24,5-9,0-4,90-100,70-79,30-39,20-29,0
11996,M,71000,2,5,5,45,22,2,2,60-69,0-4,0-4,5-9,90-100,40-49,20-29,50-59,0
11997,M,99000,3,4,5,139,27,3,0,40-49,5-9,10-14,0-4,80-89,60-69,0-9,30-39,2
11998,M,55000,3,4,4,94,13,1,3,40-49,5-9,0-4,5-9,90-100,70-79,30-39,30-39,2
11999,M,57000,3,4,5,74,12,2,1,70-79,5-9,5-9,0-4,80-89,60-69,30-39,30-39,2
12000,M,60000,3,4,4,150,16,1,1,60-69,5-9,5-9,0-4,90-100,70-79,30-39,10-19,2
12001,M,36000,2,4,5,26,1,2,2,50-59,15-19,0-4,5-9,80-89,40-49,20-29,50-59,0
12002,M,66000,0,4,6,21,3,1,3,70-79,5-9,0-4,0-4,60-69,0-9,70-79,20-29,2
12003,F,44000,3,2,5,157,11,2,1,70-79,10-14,5-9,0-4,40-49,60-69,50-59,30-39,0
12004,F,72000,4,4,4,155,22,1,2,40-49,5-9,0-4,5-9,90-100,90-100,20-29,30-39,2
12005,M,74000,0,2,3,25,3,2,1,60-69,5-9,0-4,0-4,60-69,0-9,50-59,60-69,2
12006,F,65000,1,4,4,120,15,0,1,70-79,5-9,0-4,0-4,90-100,20-29,30-39,60-69,2
12007,F,102000,4,2,4,128,25,2,2,70-79,5-9,5-9,5-9,50-59,90-100,40-49,40-49,2
12008,M,54000,3,3,3,91,11,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
12009,M,73000,0,6,6,8,8,2,2,70-79,0-4,5-9,0-4,90-100,0-9,50-59,20-29,0
12010,M,36000,0,3,4,18,3,2,2,20-29,5-9,0-4,0-4,70-79,0-9,60-69,50-59,2
12011,M,90000,3,3,4,204,20,0,2,80+,10-14,0-4,5-9,70-79,70-79,20-29,50-59,0
12012,M,68000,0,1,4,29,3,1,2,20-29,5-9,0-4,0-4,20-29,0-9,90-100,50-59,2
12013,F,50000,0,3,4,9,2,2,1,40-49,0-4,5-9,0-4,70-79,0-9,90-100,30-39,0
12014,F,36000,6,3,6,150,8,2,2,70-79,15-19,5-9,10-14,50-59,90-100,20-29,40-49,-1
12015,M,38000,0,3,3,6,1,0,2,40-49,0-4,0-4,0-4,90-100,0-9,50-59,40-49,0
12016,M,38000,0,3,4,20,2,0,1,20-29,10-14,0-4,5-9,70-79,0-9,20-29,40-49,-1
12017,F,39000,3,3,5,157,10,2,0,40-49,15-19,5-9,0-4,60-69,60-69,0-9,20-29,-1
12018,F,38000,0,3,5,17,2,2,1,30-39,5-9,5-9,0-4,60-69,0-9,50-59,30-39,2
12019,M,98000,4,4,4,374,26,1,2,70-79,10-14,0-4,5-9,90-100,90-100,20-29,30-39,0
12020,M,75000,2,4,5,42,3,2,1,30-39,10-14,5-9,0-4,80-89,40-49,30-39,40-49,0
12021,M,33000,0,4,5,6,2,1,1,40-49,0-4,0-4,0-4,80-89,0-9,20-29,50-59,0
12022,M,36000,2,4,4,68,2,2,1,50-59,25-29,0-4,5-9,90-100,50-59,10-19,50-59,-1
12023,F,57000,2,3,3,99,14,1,2,60-69,5-9,0-4,5-9,90-100,60-69,30-39,50-59,2
12024,F,33000,0,1,5,14,2,1,1,40-49,5-9,0-4,0-4,20-29,0-9,50-59,50-59,2
12025,M,78000,3,1,4,113,18,1,2,60-69,5-9,0-4,5-9,20-29,70-79,30-39,50-59,-1
12026,M,96000,3,4,4,124,24,0,3,80+,5-9,0-4,5-9,90-100,70-79,30-39,50-59,2
12027,F,87000,3,5,6,76,25,3,1,80+,0-4,5-9,0-4,80-89,50-59,30-39,40-49,0
12028,F,57000,2,2,3,30,3,0,3,30-39,10-14,0-4,5-9,60-69,60-69,40-49,40-49,0
12029,F,80000,1,3,3,83,20,2,1,60-69,0-4,0-4,0-4,90-100,30-39,30-39,50-59,0
12030,M,67000,1,3,4,47,3,1,1,11-19,10-14,0-4,0-4,70-79,20-29,30-39,20-29,0
12031,F,79000,2,3,4,203,20,1,1,60-69,10-14,0-4,0-4,70-79,50-59,30-39,50-59,0
12032,M,58000,2,4,4,278,16,2,0,60-69,15-19,5-9,0-4,90-100,50-59,0-9,30-39,0
12033,M,37000,0,3,3,13,3,2,1,40-49,0-4,0-4,0-4,90-100,0-9,50-59,50-59,0
12034,F,84000,3,2,5,108,21,1,2,40-49,5-9,0-4,5-9,40-49,60-69,30-39,30-39,2
12035,M,48000,2,2,4,25,3,3,1,30-39,5-9,5-9,0-4,50-59,50-59,90-100,40-49,-1
12036,F,78000,2,4,5,236,23,1,1,70-79,10-14,0-4,0-4,80-89,40-49,30-39,30-39,0
12037,M,51000,2,4,5,49,3,2,3,30-39,15-19,0-4,5-9,80-89,40-49,40-49,50-59,0
12038,M,53000,4,4,4,184,14,1,2,50-59,10-14,0-4,5-9,90-100,90-100,20-29,30-39,0
12039,M,105000,0,3,3,41,20,1,1,50-59,0-4,0-4,0-4,90-100,0-9,50-59,50-59,0
12040,M,33000,1,5,5,23,2,2,1,20-29,5-9,5-9,0-4,90-100,20-29,20-29,40-49,2
12041,F,89000,3,3,3,283,25,0,3,80+,10-14,0-4,5-9,90-100,90-100,30-39,40-49,0
12042,F,55000,0,2,6,52,13,1,1,60-69,0-4,0-4,0-4,30-39,0-9,50-59,50-59,0
12043,F,115000,3,3,4,203,29,2,2,60-69,5-9,0-4,5-9,70-79,70-79,30-39,50-59,2
